"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","IL","KS","LA","MA","MD","ME","MI","MN","MO","MS","MT","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","PR","RI","SC","SD","TX","UT","VA","WA","WI","WV","WY","XX"
"1",1736,2969,5155,5400,28874,2572,1917,4584,606,31366,24787,672,5025,16330,5710,4216,6874,138,1213,53581,2205,10673,5377,1699,674,2398,1215,6511,970,2057,53195,19365,11265,5444,4565,1195,805,4441,129,18134,4030,3980,10591,5793,5521,371,294
"2",903,2262,4846,10653,28467,4324,3998,573,1975,28831,11822,480,2000,18044,1802,4295,10238,73,1436,14397,2401,5736,2619,844,358,2607,944,6389,1535,2380,14174,5592,3707,3289,3609,1882,1340,5015,340,30027,1679,4993,3757,2049,2296,349,287
"3",401,815,7056,4269,52185,3315,3003,791,657,11225,2369,82,1725,3303,0,980,0,68,1327,10393,1235,4246,1118,611,127,1321,1072,3696,929,1105,11522,4977,3435,1397,1658,220,225,1121,301,9875,538,5236,3496,1936,199,379,5
"4",3481,7125,9938,13044,70383,12463,9564,2646,5146,88169,24373,1031,6392,32825,3257,5163,16696,88,2055,31827,7914,12269,2005,2525,1943,5402,2511,13674,5051,6774,30550,21862,6535,9634,1717,3369,2322,8062,1880,44866,6088,13948,6843,7176,4003,1486,563
"5",1894,4287,12988,16103,84282,8103,7811,3023,3949,60867,28558,642,4916,33898,7033,6207,12135,291,2362,42594,5238,14368,4892,1689,1469,6625,2462,17636,3337,5912,44285,14307,6570,5832,7505,4434,1910,11277,1013,42076,3170,15292,8679,6029,6609,1484,7
"6",88,127,1073,930,1198,347,327,76,191,3143,816,7,397,368,200,210,855,12,89,1086,200,762,133,107,79,476,92,241,81,212,749,920,601,207,429,11,130,261,83,2617,0,610,1121,464,171,0,2
"7",30,60,120,0,363,605,265,43,49,0,95,2,191,1031,78,190,284,7,31,0,340,308,108,137,16,390,22,754,6,114,2931,366,172,262,930,2,39,119,18,1113,152,50,383,46,259,116,0
"8",17,186,177,365,1560,197,88,57,70,2135,65,2,0,356,52,135,82,0,30,717,72,157,152,7,15,84,22,542,42,96,0,703,109,802,462,254,50,92,18,829,99,147,268,134,276,39,0
"9",573,2630,6306,5932,4871,2955,1957,762,1202,35908,7380,116,0,9662,2698,3958,1728,1776,1002,23463,1462,9225,4373,1144,509,712,1026,8274,1250,1868,20297,9454,4179,1210,1981,2961,735,2937,432,27516,1558,4993,4576,3242,3770,700,7
"10",814,3620,4323,5821,20853,4235,1154,681,1007,31272,8750,294,0,7663,1987,4366,1823,323,1125,18224,1288,4594,4932,1364,477,4190,932,4761,1285,1885,15142,13188,7560,2487,1036,1686,593,4043,613,31471,5351,4350,5056,3249,3929,460,13
"11",365,2328,2532,4119,10435,2530,347,567,571,24369,5880,140,0,4474,1025,2344,1094,34,730,14112,1214,0,2923,1248,291,2064,591,4314,202,1679,15624,6722,2148,1634,606,1268,771,2917,162,20035,2434,2114,5032,2231,1973,498,5
"12",31,63,36,0,0,4,10,6,39,0,0,0,66,12,0,57,206,0,0,0,16,208,0,0,1,11,0,0,89,1,0,23,26,1,18,16,0,95,8,0,27,55,5,11,23,12,0
"13",926,3068,15216,8542,50706,1565,4423,1223,1159,26637,594,196,0,16052,5900,5390,4801,0,1507,20009,923,11913,9383,237,209,758,1569,18518,9971,1547,31962,21229,498,2446,1102,8171,1037,4146,451,17717,0,8055,1731,2323,8773,406,11
"88",810,802,4269,4442,64093,5089,1413,1191,1207,26957,8901,157,8164,2951,3252,3480,5269,457,196,10621,1734,6530,1977,1409,687,2179,1176,9308,1744,528,32752,6190,6794,3640,715,1608,359,1390,1080,29281,3592,3244,3607,3208,3190,284,32
"99",253,37,0,155,33612,0,172,0,0,36,4966,156,9463,945,0,0,11227,31780,14,1354,112,11101,0,47,0,1398,55,38,8,0,0,0,341,0,0,0,6,0,0,2053,0,455,0,2436,214,16,18
"9999",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,641,24,0,0,0,0,0,0,0,0,0,0,1662,0,2,43,2,0,0,0,134,0,0,381,0,0
