"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre.adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre.adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre.adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtjail","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent","incartot","new.incar","stname","police.ft.emp","police.tot.pay","welfare.ft.emp","welfare.tot.pay","cor.ft.emp","cor.tot.pay","edu.ft.emp","edu.tot.pay","drop","hosp.ft.emp","hosp.tot.pay","drop.1","tot.ft.emp","tot.tot.pay","statename","citi6010","inst6010_adacope","inst6010_nom","death.sent","death.pen","crime","food.insec","GSP","AFDCRec","SNAPRec","AFDCBen3","SNAPBen3","AFDCFS3Ben","Total.SSI","npoor","eitc.st","medicaidrec","WIC.par","NSLP.Total","SBP.Total","rpp"
"99",1,2002,3125,2527,1302,1760,11700,4141,4293,252,1372,3853,255,1302,53,190,1115,104,587,2027,125,647,30,106,411,141,781,1745,122,641,22,81,684,3804,1279,1425,1815,0,0,252,0,1624,710,666,1014,0,0,127,0,2103,559,734,774,0,0,123,0,29,4350284.66666667,3058732.33333333,1116835,1114065.33333333,354684.333333333,705735.666666667,3236219.33333333,762150.666666667,2352996.66666667,732012.333333333,266503.666666667,351702.666666667,337303.333333333,152078.666666667,97759.3333333333,143513.666666667,77751.6666666667,59063,1925226.33333333,1431092.33333333,419744.666666667,0.192148534916402,0.175431936665498,0.238307107892449,117558.666666667,47683.6666666667,64915.6666666667,641285,509574.333333333,100548,657.864200790452,25100,7225,"AL",9647,38523336.25,5066,16352978.75,7418,27655208.75,NA,NA,NA,NA,NA,"Total",243877,916225818.75,"Alabama",34.73193,70,79.81371,11,TRUE,182037,0.138,129243,42754,443547,205,445,520,545,640,0,737091,118616,545747,159950,0.8775
"100",2,2002,1068,812,113,314,3984,281,804,43,759,1109,199,73,0,0,731,3,71,109,12,5,0,0,81,16,187,326,54,18,0,0,202,1860,30,730,66,34,195,0,0,190,1,64,3,3,20,0,0,514,10,196,20,14,49,0,0,NA,616328.333333333,417007,19263.3333333333,189538.333333333,6496,111442.666666667,426790,12767.3333333333,305564.333333333,49309.3333333333,19730.3333333333,1379.66666666667,24809.3333333333,606,8422.33333333333,25568.6666666667,14217.3333333333,977.333333333333,301353.333333333,224213.666666667,9124,0.0803719734052483,0.0444247959631845,0.0502047074807519,10902,3201,397.666666666667,125284,81320.3333333333,3449.33333333333,1087.93327482903,4351,2152,"AK",990,6758622.5,1796,7742596.25,1811,9247250,NA,NA,NA,NA,NA,"Total",45980,241194746.25,"Alaska",28.94801,50.90588,47.75643,0,FALSE,27295,0.122,29822,17623,46165,1153.75,550,1325,907,56,0,92345,25094,52807,10937,1.06116666666667
"101",4,2002,5049,3725,573,2376,16000,1503,5213,422,2618,3238,1725,1854,224,367,284,68,295,425,282,277,37,60,40,177,1203,1628,846,833,124,164,119,4232,673,2346,505,1383,111,1701,0,475,94,346,115,254,26,193,0,2074,276,1128,229,720,48,738,0,351,5184284.33333333,3251572,152331.333333333,1436622,51798.3333333333,704301.666666667,3747662.33333333,100533,2547270.33333333,742771,299488,30090,268758.333333333,13996.6666666667,73503.6666666667,163578.333333333,83818.6666666667,6611,2283372.66666667,1533606,67431.6666666667,0.148002364984645,0.0748697608975403,0.099372198649733,127461,36430.3333333333,7961.66666666667,887088.666666667,488678.666666667,20091,895.900668132446,29359,11625,"AZ",12647,67138205,7307,24243012.5,14363,51480592.5,NA,NA,NA,NA,NA,"Total",228615,1017200451.25,"Arizona",42.84369,20.125,14.32503,1,TRUE,343635,0.14,179211,94279,378722,433.75,445,703,545,735,0,803956,151186,489637,151245,0.986666666666667
"102",5,2002,3350,3266,989,2179,9517,2061,3841,313,147,3600,300,883,34,135,693,113,77,1317,98,223,18,54,148,186,70,2133,192,619,16,70,508,3262,334,1231,0,924,38,304,0,941,163,434,0,406,9,86,0,2176,165,754,0,495,29,176,0,578,2619811.33333333,2049112.66666667,408722.333333333,683675.333333333,140642.333333333,484459,1936136,268080,1564653.66666667,412142.666666667,151166,137207,239144.333333333,60833.3333333333,74715.6666666667,82943.3333333333,51576,26541.3333333333,1182849,961991.666666667,150070,0.187724418374088,0.166699934080341,0.268639870468404,65981.6666666667,35022.3333333333,25274.3333333333,419887,338756.333333333,45750,671.503443075084,11849,7147,"AR",5594,19245963.75,4163,11523443.75,6028,16252368.75,NA,NA,NA,NA,NA,"Total",140539,469189220,"Arkansas",49.72429,48,45.12806,0,TRUE,111207,0.17,74673,27731,283909,255,445,560,545,532,0,492159,84153,315263,127027,0.873166666666667
"103",6,2002,39425,30431,9001,12141,172625,42040,36993,10462,36009,47687,9173,9357,179,6992,13340,3071,13540,14962,2964,2434,64,2104,2900,3045,8247,13946,3287,2942,56,1983,3487,33263,11163,19929,17776,2131,12721,36217,0,7660,6103,6191,6685,793,6109,8499,0,10523,1838,5342,5023,612,2520,11135,0,729,33699689,15453286,2088949.66666667,9423750.33333333,651777.333333333,3282913,24275938.6666667,1437172.33333333,12170373,4565640,1842426,427225,1169254.66666667,190022,304866,1172784,436868,112634.666666667,15209733.3333333,7692750.66666667,857838,0.17495710572906,0.0627781421274792,0.114282229910921,910025.333333333,205248,95265,6061460,2315259,211624,1171.37732590158,159695,124545,"CA",66218,510196143.75,68760,320528667.5,74681,425429133.75,NA,NA,NA,NA,NA,"Total",1514504,9407444103.75,"California",56.68011,92.5,87.99413,14,TRUE,1384417,0.146,1450452,1160882,1710306,848.75,445,978,750,4605,0,7474860,1266542,2659390,854210,1.1305
"104",8,2002,7738,6520,1072,3978,23290,2459,7837,1565,1859,6137,460,4914,215,27,49,327,282,913,61,797,32,4,1,728,877,3186,277,2442,119,13,30,5503,1034,1852,736,1143,75,78,0,779,177,362,151,175,15,9,0,2853,463,873,380,634,35,48,0,703,4305733,3180919.66666667,154983.333333333,1133386.33333333,48673,746938.666666667,3172346.66666667,106310.333333333,2433981,417767.666666667,147306.333333333,24316,210540,11589,56027.3333333333,125396,80415.3333333333,8393.66666666667,2213646,1714563,73881.3333333333,0.0995359518584124,0.0516884320384537,0.0962924059333532,61381.6666666667,26786.6666666667,4035,779707.333333333,554808.666666667,20170,1029.34036428245,18636,8329,"CO",9234,55993612.5,7267,31503078.75,10019,45917998.75,NA,NA,NA,NA,NA,"Total",205127,1021976161.25,"Colorado",39.81298,23.12363,20.27502,0,TRUE,181062,0.1,188371,31491,178490,445,445,712,582,436,0,329958,77501,325715,61666,1.01283333333333
"105",10,2002,918,829,539,303,2732,1098,588,135,191,793,217,462,3,0,0,68,117,513,111,277,3,0,0,57,62,227,90,149,0,0,0,631,68,337,24,187,34,49,0,380,51,207,16,117,23,36,0,199,16,116,8,58,11,11,0,21,770949,559209,144152,193300.666666667,45243.3333333333,124373.333333333,577648.333333333,98908.6666666667,434835.666666667,69695.6666666667,24496,25463.6666666667,34290,10420.3333333333,9189.33333333333,20491.3333333333,11509.3333333333,7257,387313.333333333,290738.333333333,66217,0.129733201074911,0.110149603124295,0.18069664364234,15690,6479,7215,120001.666666667,92601,13257.6666666667,903.78288048224,6637,4298,"DE",1753,9198981.25,1646,6271692.5,2958,13381510,NA,NA,NA,NA,NA,"Total",42148,196436807.5,"Delaware",61.36596,78.6875,69.07211,2,TRUE,32481,0.081,43018,12357,39628,422.5,445,694,545,73,0,115296,17241,73803,18560,1.02133333333333
"106",12,2002,20800,9282,8039,10744,70103,21618,23371,2303,23834,16479,1291,4151,318,413,0,935,10575,7065,636,1807,170,188,0,1169,11408,7852,518,1928,122,171,0,21466,4319,9802,1946,1089,628,9204,0,8769,2335,4701,1046,552,314,3453,0,10778,1703,4183,775,454,252,4938,0,1355,15985461.3333333,10329574,2348458.33333333,3778245.66666667,817540.333333333,2075488.66666667,12207215.6666667,1530918,8254085.33333333,2052187.33333333,704596,618619.666666667,868268,288171,224295.333333333,469226.666666667,236479.666666667,118619.666666667,7198143.66666667,4730483.33333333,951122,0.140502683023573,0.0994878032809348,0.227026424805313,347630,130166,131302,2242899.33333333,1405722.33333333,281235.333333333,952.10588978907,75210,36638,"FL",37996,205466710,19570,65779590,41390,150052542.5,NA,NA,NA,NA,NA,"Total",716449,3042526195,"Florida",49.8863,10.56667,15.73872,10,TRUE,900155,0.131,549614,123247,985130,378.75,445,659,545,2058,0,2072089,340954,1369013,456331,0.9945
"107",13,2002,9766,7663,4868,4393,32347,12373,9233,1709,4402,10883,1404,1116,0,213,2545,934,2497,6053,780,617,0,125,1236,707,1807,4284,573,464,0,76,1164,13970,1914,4208,1323,1094,72,0,0,7040,1293,2457,859,675,49,0,0,6216,573,1596,434,393,21,0,0,940,8146619,5104354,2294280,2228171.33333333,752298.666666667,1241788.33333333,5918447.66666667,1541981.33333333,3862565.66666667,1038694.66666667,398513.666666667,525995.333333333,392229,233437.333333333,113954,240884,108273.666666667,110889.666666667,3926024,2579583.66666667,989421.666666667,0.168606405814606,0.140353019664342,0.210788048487379,217012,76232.6666666667,117900.333333333,1334254,912480.666666667,265956,864.24901134503,47445,18078,"GA",18707,73699046.25,9553,31662968.75,26849,87438156.25,NA,NA,NA,NA,NA,"Total",436438,1688131095,"Georgia",40.56184,79.30036,74.21243,3,TRUE,377728,0.139,324214,128177,645633,350,445,636,545,939,0,1087780,237124,1112375,397774,0.924333333333333
"108",15,2002,2350,1512,101,875,7209,200,1632,95,1734,2637,96,139,0,78,13,4,52,126,3,11,0,3,0,31,578,888,28,52,0,26,5,2018,140,740,232,6,242,1445,0,101,4,31,7,0,6,49,0,728,22,244,63,3,52,505,0,68,1190867.33333333,272977.333333333,19247.6666666667,295108.666666667,5416,49231.6666666667,895758.666666667,13831.6666666667,223745.666666667,125159,42231.6666666667,1695.66666666667,25041.6666666667,448.333333333333,4669,35611.6666666667,7552.33333333333,564.666666666667,573637.666666667,147297.333333333,10230,0.118115573279118,0.0473739853679577,0.0177576040987119,48614.6666666667,2709,230.333333333333,190288.333333333,35300,3575.66666666667,1185.88539954394,5069,1914,"HI",2808,15352450,888,3442985,2463,10038307.5,NA,NA,NA,NA,NA,"Total",65755,278323270,"Hawaii",82.48438,95.875,88.99662,0,FALSE,75238,0.122,45207,30466,106370,712.5,670,1106,550,138,0,158600,32986,135219,37616,1.171
